invoice_no,customer_id,gender,age,category,revenue,payment_method,invoice_date,shopping_mall,year,month,day_of_week,day_of_week_num,age_group,year_month
I312021,C153822,Female,63,Cosmetics,224.06,Cash,2021-01-01,Metrocity,2021,1,Friday,4,50+,2021-01
I131005,C131380,Female,62,Shoes,1988.44,Cash,2021-01-01,Mall of Istanbul,2021,1,Friday,4,50+,2021-01
I202894,C191193,Male,21,Clothing,1181.88,Cash,2021-01-01,Cevahir AVM,2021,1,Friday,4,18-25,2021-01
I157000,C211233,Male,50,Clothing,2882.77,Credit Card,2021-01-01,Istinye Park,2021,1,Friday,4,36-50,2021-01
I263494,C319620,Female,48,Shoes,2356.06,Cash,2021-01-01,Kanyon,2021,1,Friday,4,36-50,2021-01
I263376,C600632,Female,50,Food & Beverage,112.14,Cash,2021-01-01,Metrocity,2021,1,Friday,4,36-50,2021-01
I262633,C619431,Male,30,Food & Beverage,88.95,Debit Card,2021-01-01,Viaport Outlet,2021,1,Friday,4,26-35,2021-01
I143660,C112914,Male,18,Food & Beverage,71.11,Cash,2021-01-01,Kanyon,2021,1,Friday,4,18-25,2021-01
I427957,C624861,Female,23,Shoes,1987.36,Credit Card,2021-01-01,Istinye Park,2021,1,Friday,4,18-25,2021-01
I224521,C102966,Female,28,Toys,450.68,Credit Card,2021-01-01,Metropol AVM,2021,1,Friday,4,26-35,2021-01
I234686,C866358,Female,29,Cosmetics,374.12,Debit Card,2021-01-01,Kanyon,2021,1,Friday,4,26-35,2021-01
I323282,C134774,Female,33,Shoes,1423.63,Cash,2021-01-01,Metrocity,2021,1,Friday,4,26-35,2021-01
I841258,C813957,Female,30,Food & Beverage,69.68,Cash,2021-01-01,Cevahir AVM,2021,1,Friday,4,26-35,2021-01
I181714,C300434,Male,22,Books,277.84,Cash,2021-01-01,Mall of Istanbul,2021,1,Friday,4,18-25,2021-01
I220341,C270560,Female,44,Shoes,2981.52,Cash,2021-01-01,Metrocity,2021,1,Friday,4,36-50,2021-01
I239504,C168045,Male,47,Cosmetics,757.93,Cash,2021-01-01,Istinye Park,2021,1,Friday,4,36-50,2021-01
I172357,C416594,Female,32,Cosmetics,915.3,Cash,2021-01-01,Kanyon,2021,1,Friday,4,26-35,2021-01
I202841,C287964,Female,47,Books,348.51,Credit Card,2021-01-01,Metrocity,2021,1,Friday,4,36-50,2021-01
I298375,C210302,Female,24,Food & Beverage,63.3,Credit Card,2021-01-01,Kanyon,2021,1,Friday,4,18-25,2021-01
I310590,C612294,Female,18,Clothing,2093.2,Cash,2021-01-01,Mall of Istanbul,2021,1,Friday,4,18-25,2021-01
I804151,C338973,Female,62,Food & Beverage,116.91,Credit Card,2021-01-01,Metrocity,2021,1,Friday,4,50+,2021-01
I113208,C905558,Female,56,Technology,2154.74,Cash,2021-01-01,Forum Istanbul,2021,1,Friday,4,50+,2021-01
I198722,C342595,Female,58,Souvenir,240.53,Credit Card,2021-01-01,Zorlu Center,2021,1,Friday,4,50+,2021-01
I312847,C535517,Male,60,Souvenir,67.45,Credit Card,2021-01-01,Cevahir AVM,2021,1,Friday,4,50+,2021-01
I246142,C209273,Female,59,Souvenir,129.19,Cash,2021-01-01,Viaport Outlet,2021,1,Friday,4,50+,2021-01
I371949,C260427,Male,50,Toys,413.73,Credit Card,2021-01-01,Metrocity,2021,1,Friday,4,36-50,2021-01
I235671,C196703,Female,45,Clothing,1789.32,Cash,2021-01-01,Metrocity,2021,1,Friday,4,36-50,2021-01
I279736,C421044,Male,67,Cosmetics,927.0,Debit Card,2021-01-01,Metropol AVM,2021,1,Friday,4,50+,2021-01
I160799,C319121,Male,49,Cosmetics,454.74,Credit Card,2021-01-01,Mall of Istanbul,2021,1,Friday,4,36-50,2021-01
I229110,C256999,Male,46,Clothing,2968.91,Credit Card,2021-01-01,Metropol AVM,2021,1,Friday,4,36-50,2021-01
I100473,C607315,Female,51,Books,278.44,Debit Card,2021-01-01,Mall of Istanbul,2021,1,Friday,4,50+,2021-01
I218047,C182724,Female,67,Cosmetics,614.05,Cash,2021-01-01,Metropol AVM,2021,1,Friday,4,50+,2021-01
I124374,C226785,Male,48,Clothing,1214.84,Credit Card,2021-01-01,Metrocity,2021,1,Friday,4,36-50,2021-01
I162254,C124578,Male,62,Food & Beverage,112.8,Credit Card,2021-01-01,Emaar Square Mall,2021,1,Friday,4,50+,2021-01
I120978,C437854,Female,60,Books,242.46,Cash,2021-01-01,Kanyon,2021,1,Friday,4,50+,2021-01
I223096,C329731,Male,43,Cosmetics,509.26,Debit Card,2021-01-01,Kanyon,2021,1,Friday,4,36-50,2021-01
I258121,C225085,Female,31,Cosmetics,977.47,Credit Card,2021-01-01,Metropol AVM,2021,1,Friday,4,26-35,2021-01
I234608,C885701,Female,48,Clothing,2588.6,Cash,2021-01-01,Mall of Istanbul,2021,1,Friday,4,36-50,2021-01
I194857,C198257,Male,44,Toys,492.32,Cash,2021-01-01,Metrocity,2021,1,Friday,4,36-50,2021-01
I207939,C593101,Female,25,Cosmetics,708.43,Debit Card,2021-01-01,Mall of Istanbul,2021,1,Friday,4,18-25,2021-01
I133703,C277596,Female,37,Cosmetics,457.08,Cash,2021-01-01,Kanyon,2021,1,Friday,4,36-50,2021-01
I880831,C362018,Male,47,Books,192.43,Credit Card,2021-01-01,Emaar Square Mall,2021,1,Friday,4,36-50,2021-01
I255494,C387120,Male,54,Clothing,2223.23,Credit Card,2021-01-01,Metropol AVM,2021,1,Friday,4,50+,2021-01
I278066,C316581,Female,48,Food & Beverage,115.7,Cash,2021-01-01,Kanyon,2021,1,Friday,4,36-50,2021-01
I224830,C254068,Female,30,Food & Beverage,57.99,Cash,2021-01-01,Metrocity,2021,1,Friday,4,26-35,2021-01
I323268,C237368,Female,37,Shoes,2981.72,Debit Card,2021-01-01,Metrocity,2021,1,Friday,4,36-50,2021-01
I151379,C733582,Male,45,Clothing,2086.85,Cash,2021-01-01,Metropol AVM,2021,1,Friday,4,36-50,2021-01
I474975,C193810,Female,20,Clothing,2962.38,Credit Card,2021-01-01,Metropol AVM,2021,1,Friday,4,18-25,2021-01
I246238,C993903,Female,53,Shoes,1161.93,Cash,2021-01-01,Emaar Square Mall,2021,1,Friday,4,50+,2021-01
I423363,C125139,Female,32,Shoes,1113.85,Cash,2021-01-01,Mall of Istanbul,2021,1,Friday,4,26-35,2021-01
I139792,C153501,Female,43,Technology,2181.59,Cash,2021-01-01,Zorlu Center,2021,1,Friday,4,36-50,2021-01
I322318,C441501,Female,19,Toys,422.33,Cash,2021-01-01,Metropol AVM,2021,1,Friday,4,18-25,2021-01
I244413,C832419,Female,18,Clothing,2820.72,Cash,2021-01-01,Kanyon,2021,1,Friday,4,18-25,2021-01
I309608,C133180,Female,58,Cosmetics,119.8,Cash,2021-01-01,Emaar Square Mall,2021,1,Friday,4,50+,2021-01
I656085,C464300,Female,33,Toys,228.69,Cash,2021-01-01,Kanyon,2021,1,Friday,4,26-35,2021-01
I860673,C694253,Female,53,Clothing,1145.45,Credit Card,2021-01-01,Metrocity,2021,1,Friday,4,50+,2021-01
I148566,C107467,Female,26,Cosmetics,994.31,Cash,2021-01-01,Mall of Istanbul,2021,1,Friday,4,26-35,2021-01
I175888,C275610,Male,30,Shoes,2180.47,Credit Card,2021-01-02,Mall of Istanbul,2021,1,Saturday,5,26-35,2021-01
I183088,C186948,Female,22,Food & Beverage,142.67,Credit Card,2021-01-02,Istinye Park,2021,1,Saturday,5,18-25,2021-01
I120067,C230620,Male,45,Clothing,1343.68,Cash,2021-01-02,Forum Istanbul,2021,1,Saturday,5,36-50,2021-01
I140940,C536752,Male,18,Food & Beverage,83.45,Cash,2021-01-02,Emaar Square Mall,2021,1,Saturday,5,18-25,2021-01
I718274,C258470,Female,22,Clothing,2288.54,Debit Card,2021-01-02,Mall of Istanbul,2021,1,Saturday,5,18-25,2021-01
I755574,C289632,Male,61,Cosmetics,753.13,Credit Card,2021-01-02,Viaport Outlet,2021,1,Saturday,5,50+,2021-01
I703361,C104897,Female,68,Toys,397.21,Cash,2021-01-02,Istinye Park,2021,1,Saturday,5,50+,2021-01
I256296,C110177,Female,32,Clothing,2946.46,Cash,2021-01-02,Metrocity,2021,1,Saturday,5,26-35,2021-01
I129119,C124613,Female,54,Shoes,1704.03,Cash,2021-01-02,Metrocity,2021,1,Saturday,5,50+,2021-01
I200864,C240056,Female,19,Books,307.56,Cash,2021-01-02,Forum Istanbul,2021,1,Saturday,5,18-25,2021-01
I333672,C168726,Female,26,Toys,487.11,Cash,2021-01-02,Kanyon,2021,1,Saturday,5,26-35,2021-01
I109252,C299635,Male,41,Clothing,2641.59,Cash,2021-01-02,Mall of Istanbul,2021,1,Saturday,5,36-50,2021-01
I139535,C266493,Male,49,Books,378.58,Credit Card,2021-01-02,Zorlu Center,2021,1,Saturday,5,36-50,2021-01
I253142,C498642,Male,60,Shoes,2409.87,Cash,2021-01-02,Kanyon,2021,1,Saturday,5,50+,2021-01
I151192,C158851,Female,61,Books,304.33,Debit Card,2021-01-02,Metropol AVM,2021,1,Saturday,5,50+,2021-01
I318707,C831065,Female,43,Shoes,1885.44,Cash,2021-01-02,Kanyon,2021,1,Saturday,5,36-50,2021-01
I494743,C901496,Female,54,Clothing,1157.94,Credit Card,2021-01-02,Metrocity,2021,1,Saturday,5,50+,2021-01
I289856,C284912,Male,45,Toys,693.59,Debit Card,2021-01-02,Mall of Istanbul,2021,1,Saturday,5,36-50,2021-01
I246117,C234889,Male,33,Clothing,2439.6,Cash,2021-01-02,Kanyon,2021,1,Saturday,5,26-35,2021-01
I134210,C523881,Female,58,Food & Beverage,123.08,Debit Card,2021-01-02,Metrocity,2021,1,Saturday,5,50+,2021-01
I238825,C278644,Female,61,Clothing,2540.44,Cash,2021-01-02,Metrocity,2021,1,Saturday,5,50+,2021-01
I219610,C270223,Male,67,Clothing,2590.07,Cash,2021-01-02,Metrocity,2021,1,Saturday,5,50+,2021-01
I145982,C133792,Male,24,Technology,1285.08,Credit Card,2021-01-02,Mall of Istanbul,2021,1,Saturday,5,18-25,2021-01
I172099,C813065,Male,36,Books,168.46,Debit Card,2021-01-02,Zorlu Center,2021,1,Saturday,5,36-50,2021-01
I320205,C193686,Female,43,Shoes,2762.61,Cash,2021-01-02,Mall of Istanbul,2021,1,Saturday,5,36-50,2021-01
I149116,C316605,Male,41,Clothing,1593.96,Debit Card,2021-01-02,Mall of Istanbul,2021,1,Saturday,5,36-50,2021-01
I129752,C165472,Female,56,Cosmetics,552.6,Cash,2021-01-02,Mall of Istanbul,2021,1,Saturday,5,50+,2021-01
I915397,C150513,Female,39,Food & Beverage,53.1,Cash,2021-01-02,Metrocity,2021,1,Saturday,5,36-50,2021-01
I187948,C330723,Female,58,Cosmetics,196.34,Cash,2021-01-02,Metrocity,2021,1,Saturday,5,50+,2021-01
I247765,C694882,Female,48,Clothing,1569.19,Debit Card,2021-01-02,Kanyon,2021,1,Saturday,5,36-50,2021-01
I131892,C255216,Female,45,Toys,258.55,Credit Card,2021-01-02,Kanyon,2021,1,Saturday,5,36-50,2021-01
I182815,C119240,Female,64,Clothing,2194.53,Credit Card,2021-01-02,Metropol AVM,2021,1,Saturday,5,50+,2021-01
I236844,C225162,Female,57,Food & Beverage,144.1,Credit Card,2021-01-02,Metropol AVM,2021,1,Saturday,5,50+,2021-01
I316970,C168386,Female,33,Food & Beverage,136.09,Credit Card,2021-01-02,Metropol AVM,2021,1,Saturday,5,26-35,2021-01
I167444,C114823,Female,28,Books,196.43,Debit Card,2021-01-02,Viaport Outlet,2021,1,Saturday,5,26-35,2021-01
I268764,C315767,Male,34,Clothing,1832.12,Credit Card,2021-01-02,Metrocity,2021,1,Saturday,5,26-35,2021-01
I381652,C827250,Female,24,Cosmetics,313.5,Cash,2021-01-02,Kanyon,2021,1,Saturday,5,18-25,2021-01
I230204,C235125,Female,52,Clothing,1006.14,Debit Card,2021-01-02,Kanyon,2021,1,Saturday,5,50+,2021-01
I422224,C197434,Female,43,Books,366.47,Cash,2021-01-02,Metrocity,2021,1,Saturday,5,36-50,2021-01
I325048,C880298,Male,58,Souvenir,249.37,Debit Card,2021-01-02,Istinye Park,2021,1,Saturday,5,50+,2021-01
I321731,C177900,Male,27,Clothing,1378.42,Debit Card,2021-01-02,Forum Istanbul,2021,1,Saturday,5,26-35,2021-01
I339170,C825835,Male,32,Food & Beverage,147.23,Credit Card,2021-01-02,Mall of Istanbul,2021,1,Saturday,5,26-35,2021-01
I236203,C213444,Male,31,Clothing,1065.36,Cash,2021-01-02,Forum Istanbul,2021,1,Saturday,5,26-35,2021-01
I102636,C988123,Male,67,Cosmetics,320.01,Cash,2021-01-02,Kanyon,2021,1,Saturday,5,50+,2021-01
I105283,C399708,Male,19,Clothing,1244.58,Cash,2021-01-02,Zorlu Center,2021,1,Saturday,5,18-25,2021-01
I302348,C195058,Male,21,Food & Beverage,137.51,Credit Card,2021-01-02,Istinye Park,2021,1,Saturday,5,18-25,2021-01
I114177,C204366,Female,57,Clothing,1872.77,Cash,2021-01-02,Mall of Istanbul,2021,1,Saturday,5,50+,2021-01
I118262,C232661,Female,65,Food & Beverage,123.62,Cash,2021-01-02,Forum Istanbul,2021,1,Saturday,5,50+,2021-01
I554164,C207843,Female,47,Souvenir,277.11,Credit Card,2021-01-02,Mall of Istanbul,2021,1,Saturday,5,36-50,2021-01
I520356,C136864,Female,55,Toys,696.67,Cash,2021-01-02,Metrocity,2021,1,Saturday,5,50+,2021-01
I126194,C230812,Female,58,Shoes,1225.55,Cash,2021-01-02,Mall of Istanbul,2021,1,Saturday,5,50+,2021-01
I887557,C251184,Female,29,Cosmetics,594.17,Cash,2021-01-02,Cevahir AVM,2021,1,Saturday,5,26-35,2021-01
I302309,C995687,Female,61,Clothing,2827.95,Debit Card,2021-01-02,Viaport Outlet,2021,1,Saturday,5,50+,2021-01
I149622,C256035,Male,25,Clothing,2510.6,Debit Card,2021-01-02,Mall of Istanbul,2021,1,Saturday,5,18-25,2021-01
I198185,C226916,Female,65,Technology,2623.62,Cash,2021-01-02,Mall of Istanbul,2021,1,Saturday,5,50+,2021-01
I248951,C225620,Female,35,Clothing,1634.66,Credit Card,2021-01-02,Zorlu Center,2021,1,Saturday,5,26-35,2021-01
I270707,C304808,Female,27,Clothing,1550.85,Credit Card,2021-01-02,Istinye Park,2021,1,Saturday,5,26-35,2021-01
I532223,C155014,Male,34,Clothing,2257.06,Credit Card,2021-01-02,Kanyon,2021,1,Saturday,5,26-35,2021-01
I511734,C272588,Female,66,Clothing,1113.39,Debit Card,2021-01-02,Cevahir AVM,2021,1,Saturday,5,50+,2021-01
I160354,C158564,Male,21,Shoes,1525.58,Cash,2021-01-02,Mall of Istanbul,2021,1,Saturday,5,18-25,2021-01
I226884,C301548,Female,34,Food & Beverage,129.7,Debit Card,2021-01-02,Istinye Park,2021,1,Saturday,5,26-35,2021-01
I183888,C588583,Female,39,Clothing,1011.98,Credit Card,2021-01-02,Istinye Park,2021,1,Saturday,5,36-50,2021-01
I172106,C319542,Male,21,Clothing,2612.53,Credit Card,2021-01-02,Istinye Park,2021,1,Saturday,5,18-25,2021-01
I241939,C867707,Female,50,Food & Beverage,82.0,Debit Card,2021-01-02,Kanyon,2021,1,Saturday,5,36-50,2021-01
I165341,C830470,Male,25,Clothing,1078.74,Cash,2021-01-02,Kanyon,2021,1,Saturday,5,18-25,2021-01
I837500,C210601,Male,25,Clothing,2456.68,Cash,2021-01-02,Mall of Istanbul,2021,1,Saturday,5,18-25,2021-01
I133562,C137102,Female,26,Toys,591.83,Cash,2021-01-02,Metropol AVM,2021,1,Saturday,5,26-35,2021-01
I152312,C222303,Male,43,Cosmetics,277.37,Cash,2021-01-02,Forum Istanbul,2021,1,Saturday,5,36-50,2021-01
I304105,C270572,Male,51,Cosmetics,239.33,Debit Card,2021-01-02,Zorlu Center,2021,1,Saturday,5,50+,2021-01
I368844,C180505,Female,68,Toys,796.71,Debit Card,2021-01-02,Metropol AVM,2021,1,Saturday,5,50+,2021-01
I302131,C270993,Male,49,Clothing,1154.04,Credit Card,2021-01-02,Kanyon,2021,1,Saturday,5,36-50,2021-01
I375681,C238572,Male,27,Cosmetics,320.24,Credit Card,2021-01-02,Kanyon,2021,1,Saturday,5,26-35,2021-01
I271715,C271297,Female,49,Clothing,2996.04,Cash,2021-01-02,Metropol AVM,2021,1,Saturday,5,36-50,2021-01
I246979,C315339,Female,41,Souvenir,164.78,Cash,2021-01-02,Zorlu Center,2021,1,Saturday,5,36-50,2021-01
I566157,C302617,Female,23,Clothing,1815.22,Cash,2021-01-02,Istinye Park,2021,1,Saturday,5,18-25,2021-01
I286738,C506286,Male,44,Clothing,2493.1,Credit Card,2021-01-02,Forum Istanbul,2021,1,Saturday,5,36-50,2021-01
I260459,C228138,Male,69,Food & Beverage,145.96,Cash,2021-01-02,Mall of Istanbul,2021,1,Saturday,5,50+,2021-01
I287961,C238874,Female,35,Souvenir,194.6,Cash,2021-01-02,Kanyon,2021,1,Saturday,5,26-35,2021-01
I298645,C282230,Male,49,Food & Beverage,98.93,Cash,2021-01-02,Mall of Istanbul,2021,1,Saturday,5,36-50,2021-01
I226368,C117004,Male,27,Toys,725.25,Cash,2021-01-02,Cevahir AVM,2021,1,Saturday,5,26-35,2021-01
I880960,C190357,Female,46,Clothing,2762.23,Credit Card,2021-01-02,Cevahir AVM,2021,1,Saturday,5,36-50,2021-01
I106953,C169634,Male,58,Food & Beverage,137.37,Cash,2021-01-02,Forum Istanbul,2021,1,Saturday,5,50+,2021-01
I177668,C147079,Female,19,Souvenir,163.57,Cash,2021-01-02,Zorlu Center,2021,1,Saturday,5,18-25,2021-01
I335915,C179722,Male,60,Food & Beverage,63.59,Cash,2021-01-02,Mall of Istanbul,2021,1,Saturday,5,50+,2021-01
I299869,C125749,Female,38,Cosmetics,980.61,Debit Card,2021-01-02,Mall of Istanbul,2021,1,Saturday,5,36-50,2021-01
I281824,C281222,Male,49,Food & Beverage,79.09,Cash,2021-01-02,Mall of Istanbul,2021,1,Saturday,5,36-50,2021-01
I260930,C213931,Male,47,Shoes,2796.1,Debit Card,2021-01-02,Metropol AVM,2021,1,Saturday,5,36-50,2021-01
I326857,C433614,Female,53,Souvenir,92.51,Credit Card,2021-01-02,Kanyon,2021,1,Saturday,5,50+,2021-01
I279976,C602859,Female,66,Clothing,1308.9,Cash,2021-01-02,Istinye Park,2021,1,Saturday,5,50+,2021-01
I141250,C154814,Male,60,Technology,4955.75,Credit Card,2021-01-02,Zorlu Center,2021,1,Saturday,5,50+,2021-01
I127256,C719003,Male,20,Clothing,1468.13,Credit Card,2021-01-02,Istinye Park,2021,1,Saturday,5,18-25,2021-01
I291280,C139958,Male,29,Food & Beverage,63.71,Debit Card,2021-01-02,Cevahir AVM,2021,1,Saturday,5,26-35,2021-01
I131310,C719042,Male,26,Clothing,2092.85,Cash,2021-01-02,Kanyon,2021,1,Saturday,5,26-35,2021-01
I252115,C144558,Female,45,Food & Beverage,149.78,Cash,2021-01-02,Istinye Park,2021,1,Saturday,5,36-50,2021-01
I195676,C927128,Female,25,Food & Beverage,106.24,Cash,2021-01-02,Metrocity,2021,1,Saturday,5,18-25,2021-01
I316362,C141216,Female,54,Clothing,1631.53,Credit Card,2021-01-02,Metrocity,2021,1,Saturday,5,50+,2021-01
I199128,C371115,Male,67,Food & Beverage,105.07,Cash,2021-01-02,Metrocity,2021,1,Saturday,5,50+,2021-01
I320863,C424860,Female,36,Cosmetics,128.75,Credit Card,2021-01-02,Istinye Park,2021,1,Saturday,5,36-50,2021-01
I208273,C216724,Female,46,Shoes,1005.91,Debit Card,2021-01-02,Kanyon,2021,1,Saturday,5,36-50,2021-01
I235648,C161436,Male,24,Toys,854.75,Credit Card,2021-01-02,Zorlu Center,2021,1,Saturday,5,18-25,2021-01
I483913,C263692,Female,26,Clothing,2139.55,Cash,2021-01-02,Istinye Park,2021,1,Saturday,5,26-35,2021-01
I879825,C266307,Male,61,Cosmetics,774.38,Cash,2021-01-02,Metropol AVM,2021,1,Saturday,5,50+,2021-01
I199600,C241435,Female,59,Clothing,2435.55,Cash,2021-01-02,Metrocity,2021,1,Saturday,5,50+,2021-01
I306978,C125534,Female,63,Clothing,2785.2,Debit Card,2021-01-02,Mall of Istanbul,2021,1,Saturday,5,50+,2021-01
I229018,C250257,Female,23,Toys,198.25,Credit Card,2021-01-02,Viaport Outlet,2021,1,Saturday,5,18-25,2021-01
I327577,C218504,Female,21,Clothing,1876.53,Credit Card,2021-01-02,Mall of Istanbul,2021,1,Saturday,5,18-25,2021-01
I254921,C182870,Male,44,Shoes,2720.7,Credit Card,2021-01-02,Istinye Park,2021,1,Saturday,5,36-50,2021-01
I106712,C322021,Female,57,Technology,1359.7,Cash,2021-01-02,Kanyon,2021,1,Saturday,5,50+,2021-01
I543508,C150703,Female,27,Shoes,1602.63,Cash,2021-01-02,Metropol AVM,2021,1,Saturday,5,26-35,2021-01
I227595,C183788,Female,27,Food & Beverage,83.21,Credit Card,2021-01-02,Metrocity,2021,1,Saturday,5,26-35,2021-01
I141673,C144069,Female,57,Clothing,2562.58,Credit Card,2021-01-02,Emaar Square Mall,2021,1,Saturday,5,50+,2021-01
I336944,C201203,Male,64,Shoes,1117.34,Cash,2021-01-02,Istinye Park,2021,1,Saturday,5,50+,2021-01
I200236,C132985,Female,34,Toys,233.62,Credit Card,2021-01-02,Emaar Square Mall,2021,1,Saturday,5,26-35,2021-01
I172481,C187010,Female,32,Clothing,1357.49,Credit Card,2021-01-02,Emaar Square Mall,2021,1,Saturday,5,26-35,2021-01
