invoice_no,customer_id,gender,age,category,revenue,payment_method,invoice_date,shopping_mall
I224830,C254068,Female,30,Food & Beverage,57.99,Cash,2021-01-01,Metrocity
I278066,C316581,Female,48,Food & Beverage,115.7,Cash,2021-01-01,Kanyon
I255494,C387120,Male,54,Clothing,2223.23,Credit Card,2021-01-01,Metropol AVM
I880831,C362018,Male,47,Books,192.43,Credit Card,2021-01-01,Emaar Square Mall
I133703,C277596,Female,37,Cosmetics,457.08,Cash,2021-01-01,Kanyon
I148566,C107467,Female,26,Cosmetics,994.31,Cash,2021-01-01,Mall of Istanbul
I323268,C237368,Female,37,Shoes,2981.72,Debit Card,2021-01-01,Metrocity
I207939,C593101,Female,25,Cosmetics,708.43,Debit Card,2021-01-01,Mall of Istanbul
I160799,C319121,Male,49,Cosmetics,454.74,Credit Card,2021-01-01,Mall of Istanbul
I194857,C198257,Male,44,Toys,492.32,Cash,2021-01-01,Metrocity
I234608,C885701,Female,48,Clothing,2588.6,Cash,2021-01-01,Mall of Istanbul
I223096,C329731,Male,43,Cosmetics,509.26,Debit Card,2021-01-01,Kanyon
I263376,C600632,Female,50,Food & Beverage,112.14,Cash,2021-01-01,Metrocity
I279736,C421044,Male,67,Cosmetics,927.0,Debit Card,2021-01-01,Metropol AVM
I157000,C211233,Male,50,Clothing,2882.77,Credit Card,2021-01-01,Istinye Park
I131005,C131380,Female,62,Shoes,1988.44,Cash,2021-01-01,Mall of Istanbul
I661328,C316361,Male,67,Clothing,1825.62,Credit Card,2021-01-01,Istinye Park
I372925,C338241,Female,35,Toys,707.99,Credit Card,2021-01-01,Forum Istanbul
I811651,C197450,Female,57,Clothing,1232.64,Cash,2021-01-01,Kanyon
I983515,C249060,Male,39,Cosmetics,171.68,Debit Card,2021-01-01,Metropol AVM
I104292,C431059,Female,22,Clothing,2525.12,Debit Card,2021-01-01,Emaar Square Mall
I301161,C844363,Female,49,Cosmetics,297.51,Debit Card,2021-01-01,Mall of Istanbul
I200375,C255333,Female,52,Toys,312.64,Cash,2021-01-01,Mall of Istanbul
I101088,C824542,Female,28,Toys,983.17,Debit Card,2021-01-01,Kanyon
I313807,C516977,Female,69,Food & Beverage,139.3,Cash,2021-01-01,Istinye Park
I765482,C238585,Male,24,Clothing,1560.26,Credit Card,2021-01-01,Kanyon
I202894,C191193,Male,21,Clothing,1181.88,Cash,2021-01-01,Cevahir AVM
I132894,C217270,Female,62,Food & Beverage,148.61,Credit Card,2021-01-01,Viaport Outlet
I382797,C759842,Male,54,Souvenir,126.35,Cash,2021-01-01,Emaar Square Mall
I182802,C286477,Male,32,Clothing,1439.28,Cash,2021-01-01,Mall of Istanbul
I184824,C305423,Male,58,Shoes,2398.93,Credit Card,2021-01-01,Kanyon
I115941,C105769,Male,34,Clothing,2341.35,Cash,2021-01-01,Istinye Park
I159235,C312481,Male,58,Food & Beverage,98.06,Credit Card,2021-01-01,Mall of Istanbul
I836951,C382440,Male,54,Clothing,2722.02,Cash,2021-01-01,Metrocity
I313757,C438201,Female,43,Clothing,2048.6,Credit Card,2021-01-01,Mall of Istanbul
I211587,C366859,Male,25,Toys,869.1,Credit Card,2021-01-01,Zorlu Center
I983410,C118410,Male,61,Toys,409.06,Credit Card,2021-01-01,Cevahir AVM
I256461,C164803,Female,65,Souvenir,52.2,Cash,2021-01-01,Istinye Park
I211131,C280473,Male,51,Cosmetics,140.87,Cash,2021-01-01,Istinye Park
I270599,C211804,Female,62,Shoes,1527.99,Cash,2021-01-01,Mall of Istanbul
I302939,C911736,Female,24,Clothing,1012.04,Cash,2021-01-01,Kanyon
I312021,C153822,Female,63,Cosmetics,224.06,Cash,2021-01-01,Metrocity
I143523,C299146,Female,45,Shoes,2943.81,Credit Card,2021-01-01,Metropol AVM
I225263,C654298,Female,57,Technology,951.81,Credit Card,2021-01-01,Kanyon
I263494,C319620,Female,48,Shoes,2356.06,Cash,2021-01-01,Kanyon
I274757,C231715,Male,44,Cosmetics,172.06,Credit Card,2021-01-01,Mall of Istanbul
I922215,C333888,Male,43,Souvenir,135.62,Debit Card,2021-01-01,Metropol AVM
I291690,C260019,Female,19,Cosmetics,669.95,Cash,2021-01-01,Metrocity
I251008,C336236,Female,23,Toys,389.6,Credit Card,2021-01-01,Istinye Park
I938875,C107835,Male,49,Shoes,1890.5,Credit Card,2021-01-01,Mall of Istanbul
I199546,C611041,Female,27,Toys,834.59,Debit Card,2021-01-01,Kanyon
I310843,C326151,Male,20,Clothing,1939.24,Credit Card,2021-01-01,Metrocity
I262389,C193687,Male,27,Toys,681.96,Credit Card,2021-01-01,Istinye Park
I154522,C248756,Female,34,Shoes,2368.08,Credit Card,2021-01-01,Mall of Istanbul
I247897,C339057,Male,43,Food & Beverage,94.63,Cash,2021-01-01,Kanyon
I463047,C113897,Male,67,Books,356.27,Credit Card,2021-01-01,Metrocity
I184242,C134228,Female,61,Clothing,2387.6,Cash,2021-01-01,Emaar Square Mall
I211789,C106566,Male,67,Clothing,2207.06,Cash,2021-01-01,Mall of Istanbul
I193645,C263155,Male,56,Clothing,1509.4,Debit Card,2021-01-01,Mall of Istanbul
I966320,C169558,Female,59,Clothing,2394.52,Credit Card,2021-01-01,Mall of Istanbul
I114774,C913265,Male,30,Souvenir,234.66,Cash,2021-01-01,Metropol AVM
I350619,C161382,Male,43,Clothing,2008.9,Credit Card,2021-01-01,Zorlu Center
I373864,C244040,Female,69,Clothing,1536.0,Cash,2021-01-01,Mall of Istanbul
I197007,C979723,Male,30,Technology,4338.09,Cash,2021-01-01,Istinye Park
I321359,C169122,Female,21,Shoes,2862.45,Debit Card,2021-01-01,Istinye Park
I260437,C163493,Male,41,Cosmetics,240.45,Cash,2021-01-01,Mall of Istanbul
I260930,C213931,Male,47,Shoes,2796.1,Debit Card,2021-01-02,Metropol AVM
I141250,C154814,Male,60,Technology,4955.75,Credit Card,2021-01-02,Zorlu Center
I326857,C433614,Female,53,Souvenir,92.51,Credit Card,2021-01-02,Kanyon
I279976,C602859,Female,66,Clothing,1308.9,Cash,2021-01-02,Istinye Park
I208273,C216724,Female,46,Shoes,1005.91,Debit Card,2021-01-02,Kanyon
I252115,C144558,Female,45,Food & Beverage,149.78,Cash,2021-01-02,Istinye Park
I199128,C371115,Male,67,Food & Beverage,105.07,Cash,2021-01-02,Metrocity
I316362,C141216,Female,54,Clothing,1631.53,Credit Card,2021-01-02,Metrocity
I291280,C139958,Male,29,Food & Beverage,63.71,Debit Card,2021-01-02,Cevahir AVM
I127256,C719003,Male,20,Clothing,1468.13,Credit Card,2021-01-02,Istinye Park
I131310,C719042,Male,26,Clothing,2092.85,Cash,2021-01-02,Kanyon
I299869,C125749,Female,38,Cosmetics,980.61,Debit Card,2021-01-02,Mall of Istanbul
I335915,C179722,Male,60,Food & Beverage,63.59,Cash,2021-01-02,Mall of Istanbul
I281824,C281222,Male,49,Food & Beverage,79.09,Cash,2021-01-02,Mall of Istanbul
I177668,C147079,Female,19,Souvenir,163.57,Cash,2021-01-02,Zorlu Center
I483913,C263692,Female,26,Clothing,2139.55,Cash,2021-01-02,Istinye Park
I226368,C117004,Male,27,Toys,725.25,Cash,2021-01-02,Cevahir AVM
I235648,C161436,Male,24,Toys,854.75,Credit Card,2021-01-02,Zorlu Center
I298645,C282230,Male,49,Food & Beverage,98.93,Cash,2021-01-02,Mall of Istanbul
I287961,C238874,Female,35,Souvenir,194.6,Cash,2021-01-02,Kanyon
I260459,C228138,Male,69,Food & Beverage,145.96,Cash,2021-01-02,Mall of Istanbul
I286738,C506286,Male,44,Clothing,2493.1,Credit Card,2021-01-02,Forum Istanbul
I566157,C302617,Female,23,Clothing,1815.22,Cash,2021-01-02,Istinye Park
I246979,C315339,Female,41,Souvenir,164.78,Cash,2021-01-02,Zorlu Center
I106953,C169634,Male,58,Food & Beverage,137.37,Cash,2021-01-02,Forum Istanbul
I271715,C271297,Female,49,Clothing,2996.04,Cash,2021-01-02,Metropol AVM
I375681,C238572,Male,27,Cosmetics,320.24,Credit Card,2021-01-02,Kanyon
I302131,C270993,Male,49,Clothing,1154.04,Credit Card,2021-01-02,Kanyon
I304105,C270572,Male,51,Cosmetics,239.33,Debit Card,2021-01-02,Zorlu Center
I130625,C162201,Male,58,Food & Beverage,80.04,Credit Card,2021-01-02,Mall of Istanbul
I880960,C190357,Female,46,Clothing,2762.23,Credit Card,2021-01-02,Cevahir AVM
I368844,C180505,Female,68,Toys,796.71,Debit Card,2021-01-02,Metropol AVM
I229018,C250257,Female,23,Toys,198.25,Credit Card,2021-01-02,Viaport Outlet
I289179,C138631,Male,51,Clothing,2609.74,Credit Card,2021-01-02,Zorlu Center
I249997,C258469,Male,33,Cosmetics,883.6,Credit Card,2021-01-02,Kanyon
I149426,C773702,Male,52,Cosmetics,891.94,Debit Card,2021-01-02,Kanyon
I113986,C266490,Male,49,Shoes,2085.12,Debit Card,2021-01-02,Mall of Istanbul
I230325,C528977,Male,67,Clothing,1254.03,Cash,2021-01-02,Viaport Outlet
I294888,C318696,Male,50,Toys,809.49,Credit Card,2021-01-02,Mall of Istanbul
I157247,C108563,Male,25,Technology,2611.68,Credit Card,2021-01-02,Mall of Istanbul
I157675,C240718,Female,62,Toys,552.54,Cash,2021-01-02,Mall of Istanbul
I219237,C365644,Male,33,Clothing,2644.11,Cash,2021-01-02,Viaport Outlet
I303861,C722669,Female,29,Food & Beverage,83.66,Cash,2021-01-02,Viaport Outlet
I810843,C179024,Female,41,Clothing,2961.57,Cash,2021-01-02,Metrocity
I417064,C874586,Male,19,Shoes,1234.64,Debit Card,2021-01-02,Emaar Square Mall
I143892,C198005,Female,35,Toys,890.43,Cash,2021-01-02,Cevahir AVM
I117548,C170122,Male,35,Clothing,2868.65,Debit Card,2021-01-02,Kanyon
I425732,C263306,Male,24,Food & Beverage,117.33,Cash,2021-01-02,Mall of Istanbul
I945983,C310668,Female,58,Souvenir,224.58,Debit Card,2021-01-02,Mall of Istanbul
I543508,C150703,Female,27,Shoes,1602.63,Cash,2021-01-02,Metropol AVM
I513323,C245564,Male,44,Clothing,2513.06,Credit Card,2021-01-02,Mall of Istanbul
I879825,C266307,Male,61,Cosmetics,774.38,Cash,2021-01-02,Metropol AVM
I146366,C332527,Female,64,Toys,928.52,Credit Card,2021-01-02,Cevahir AVM
I172481,C187010,Female,32,Clothing,1357.49,Credit Card,2021-01-02,Emaar Square Mall
I200236,C132985,Female,34,Toys,233.62,Credit Card,2021-01-02,Emaar Square Mall
I336944,C201203,Male,64,Shoes,1117.34,Cash,2021-01-02,Istinye Park
I141673,C144069,Female,57,Clothing,2562.58,Credit Card,2021-01-02,Emaar Square Mall
I227595,C183788,Female,27,Food & Beverage,83.21,Credit Card,2021-01-02,Metrocity
I199600,C241435,Female,59,Clothing,2435.55,Cash,2021-01-02,Metrocity
I106712,C322021,Female,57,Technology,1359.7,Cash,2021-01-02,Kanyon
I254921,C182870,Male,44,Shoes,2720.7,Credit Card,2021-01-02,Istinye Park
I320863,C424860,Female,36,Cosmetics,128.75,Credit Card,2021-01-02,Istinye Park
I327577,C218504,Female,21,Clothing,1876.53,Credit Card,2021-01-02,Mall of Istanbul
I307408,C317164,Male,68,Clothing,1337.69,Debit Card,2021-01-02,Metropol AVM
I306978,C125534,Female,63,Clothing,2785.2,Debit Card,2021-01-02,Mall of Istanbul
I152312,C222303,Male,43,Cosmetics,277.37,Cash,2021-01-02,Forum Istanbul
I195676,C927128,Female,25,Food & Beverage,106.24,Cash,2021-01-02,Metrocity
I837500,C210601,Male,25,Clothing,2456.68,Cash,2021-01-02,Mall of Istanbul
I114177,C204366,Female,57,Clothing,1872.77,Cash,2021-01-02,Mall of Istanbul
I167444,C114823,Female,28,Books,196.43,Debit Card,2021-01-02,Viaport Outlet
I915397,C150513,Female,39,Food & Beverage,53.1,Cash,2021-01-02,Metrocity
I129752,C165472,Female,56,Cosmetics,552.6,Cash,2021-01-02,Mall of Istanbul
I149116,C316605,Male,41,Clothing,1593.96,Debit Card,2021-01-02,Mall of Istanbul
I289856,C284912,Male,45,Toys,693.59,Debit Card,2021-01-02,Mall of Istanbul
I318707,C831065,Female,43,Shoes,1885.44,Cash,2021-01-02,Kanyon
I320205,C193686,Female,43,Shoes,2762.61,Cash,2021-01-02,Mall of Istanbul
I172099,C813065,Male,36,Books,168.46,Debit Card,2021-01-02,Zorlu Center
I145982,C133792,Male,24,Technology,1285.08,Credit Card,2021-01-02,Mall of Istanbul
I219610,C270223,Male,67,Clothing,2590.07,Cash,2021-01-02,Metrocity
I238825,C278644,Female,61,Clothing,2540.44,Cash,2021-01-02,Metrocity
I134210,C523881,Female,58,Food & Beverage,123.08,Debit Card,2021-01-02,Metrocity
I182815,C119240,Female,64,Clothing,2194.53,Credit Card,2021-01-02,Metropol AVM
I246117,C234889,Male,33,Clothing,2439.6,Cash,2021-01-02,Kanyon
I494743,C901496,Female,54,Clothing,1157.94,Credit Card,2021-01-02,Metrocity
I131892,C255216,Female,45,Toys,258.55,Credit Card,2021-01-02,Kanyon
I151192,C158851,Female,61,Books,304.33,Debit Card,2021-01-02,Metropol AVM
I253142,C498642,Male,60,Shoes,2409.87,Cash,2021-01-02,Kanyon
I175888,C275610,Male,30,Shoes,2180.47,Credit Card,2021-01-02,Mall of Istanbul
I140940,C536752,Male,18,Food & Beverage,83.45,Cash,2021-01-02,Emaar Square Mall
I256296,C110177,Female,32,Clothing,2946.46,Cash,2021-01-02,Metrocity
I333672,C168726,Female,26,Toys,487.11,Cash,2021-01-02,Kanyon
I129119,C124613,Female,54,Shoes,1704.03,Cash,2021-01-02,Metrocity
I109252,C299635,Male,41,Clothing,2641.59,Cash,2021-01-02,Mall of Istanbul
I755574,C289632,Male,61,Cosmetics,753.13,Credit Card,2021-01-02,Viaport Outlet
I703361,C104897,Female,68,Toys,397.21,Cash,2021-01-02,Istinye Park
I183088,C186948,Female,22,Food & Beverage,142.67,Credit Card,2021-01-02,Istinye Park
I718274,C258470,Female,22,Clothing,2288.54,Debit Card,2021-01-02,Mall of Istanbul
I200864,C240056,Female,19,Books,307.56,Cash,2021-01-02,Forum Istanbul
I139535,C266493,Male,49,Books,378.58,Credit Card,2021-01-02,Zorlu Center
I247765,C694882,Female,48,Clothing,1569.19,Debit Card,2021-01-02,Kanyon
I187948,C330723,Female,58,Cosmetics,196.34,Cash,2021-01-02,Metrocity
I118262,C232661,Female,65,Food & Beverage,123.62,Cash,2021-01-02,Forum Istanbul
I554164,C207843,Female,47,Souvenir,277.11,Credit Card,2021-01-02,Mall of Istanbul
I165341,C830470,Male,25,Clothing,1078.74,Cash,2021-01-02,Kanyon
I198185,C226916,Female,65,Technology,2623.62,Cash,2021-01-02,Mall of Istanbul
I133562,C137102,Female,26,Toys,591.83,Cash,2021-01-02,Metropol AVM
I248951,C225620,Female,35,Clothing,1634.66,Credit Card,2021-01-02,Zorlu Center
I270707,C304808,Female,27,Clothing,1550.85,Credit Card,2021-01-02,Istinye Park
I887557,C251184,Female,29,Cosmetics,594.17,Cash,2021-01-02,Cevahir AVM
I532223,C155014,Male,34,Clothing,2257.06,Credit Card,2021-01-02,Kanyon
I160354,C158564,Male,21,Shoes,1525.58,Cash,2021-01-02,Mall of Istanbul
I226884,C301548,Female,34,Food & Beverage,129.7,Debit Card,2021-01-02,Istinye Park
I120067,C230620,Male,45,Clothing,1343.68,Cash,2021-01-02,Forum Istanbul
I183888,C588583,Female,39,Clothing,1011.98,Credit Card,2021-01-02,Istinye Park
I172106,C319542,Male,21,Clothing,2612.53,Credit Card,2021-01-02,Istinye Park
I241939,C867707,Female,50,Food & Beverage,82.0,Debit Card,2021-01-02,Kanyon
I316970,C168386,Female,33,Food & Beverage,136.09,Credit Card,2021-01-02,Metropol AVM
I511734,C272588,Female,66,Clothing,1113.39,Debit Card,2021-01-02,Cevahir AVM
I302309,C995687,Female,61,Clothing,2827.95,Debit Card,2021-01-02,Viaport Outlet
I126194,C230812,Female,58,Shoes,1225.55,Cash,2021-01-02,Mall of Istanbul
I520356,C136864,Female,55,Toys,696.67,Cash,2021-01-02,Metrocity
I381652,C827250,Female,24,Cosmetics,313.5,Cash,2021-01-02,Kanyon
I230204,C235125,Female,52,Clothing,1006.14,Debit Card,2021-01-02,Kanyon
I422224,C197434,Female,43,Books,366.47,Cash,2021-01-02,Metrocity
I325048,C880298,Male,58,Souvenir,249.37,Debit Card,2021-01-02,Istinye Park
I321731,C177900,Male,27,Clothing,1378.42,Debit Card,2021-01-02,Forum Istanbul
I268764,C315767,Male,34,Clothing,1832.12,Credit Card,2021-01-02,Metrocity
I149622,C256035,Male,25,Clothing,2510.6,Debit Card,2021-01-02,Mall of Istanbul
I339170,C825835,Male,32,Food & Beverage,147.23,Credit Card,2021-01-02,Mall of Istanbul
I236203,C213444,Male,31,Clothing,1065.36,Cash,2021-01-02,Forum Istanbul
I102636,C988123,Male,67,Cosmetics,320.01,Cash,2021-01-02,Kanyon
I105283,C399708,Male,19,Clothing,1244.58,Cash,2021-01-02,Zorlu Center
I302348,C195058,Male,21,Food & Beverage,137.51,Credit Card,2021-01-02,Istinye Park
I236844,C225162,Female,57,Food & Beverage,144.1,Credit Card,2021-01-02,Metropol AVM
I362469,C241312,Male,52,Clothing,1957.78,Debit Card,2021-01-03,Kanyon
I565410,C959538,Female,56,Cosmetics,396.14,Debit Card,2021-01-03,Viaport Outlet
I329007,C243523,Female,42,Cosmetics,574.47,Credit Card,2021-01-03,Istinye Park
I486354,C143639,Female,59,Cosmetics,994.95,Cash,2021-01-03,Mall of Istanbul
I628727,C335196,Male,57,Shoes,2956.63,Credit Card,2021-01-03,Kanyon
I336085,C109972,Female,63,Toys,333.09,Credit Card,2021-01-03,Metropol AVM
I798213,C662958,Female,20,Shoes,2581.62,Cash,2021-01-03,Metropol AVM
I365399,C343037,Male,61,Food & Beverage,55.28,Cash,2021-01-03,Forum Istanbul
I125819,C192711,Female,55,Clothing,1248.91,Cash,2021-01-03,Kanyon
I278498,C292506,Female,33,Clothing,1456.39,Debit Card,2021-01-03,Kanyon
I337335,C942595,Male,24,Technology,2800.53,Cash,2021-01-03,Forum Istanbul
I255611,C144203,Female,65,Toys,565.34,Debit Card,2021-01-03,Metrocity
I306063,C645479,Male,42,Food & Beverage,137.42,Debit Card,2021-01-03,Istinye Park
I747566,C129930,Female,48,Food & Beverage,124.65,Debit Card,2021-01-03,Kanyon
I125815,C171524,Male,29,Clothing,1631.15,Credit Card,2021-01-03,Viaport Outlet
I255459,C823798,Female,58,Cosmetics,131.35,Credit Card,2021-01-03,Kanyon
I185019,C148815,Female,55,Food & Beverage,119.15,Cash,2021-01-03,Metrocity
I805138,C189342,Female,26,Cosmetics,837.02,Cash,2021-01-03,Kanyon
I420079,C206412,Male,38,Clothing,1535.32,Credit Card,2021-01-03,Kanyon
I194108,C147787,Female,50,Clothing,1127.25,Cash,2021-01-03,Zorlu Center
I118610,C217816,Female,38,Books,239.17,Cash,2021-01-03,Kanyon
I312080,C333994,Female,41,Food & Beverage,140.25,Credit Card,2021-01-03,Kanyon
I169201,C289809,Female,40,Books,443.31,Cash,2021-01-03,Istinye Park
I845245,C202377,Male,45,Cosmetics,297.47,Credit Card,2021-01-03,Metropol AVM
I280860,C139407,Female,35,Clothing,1231.3,Credit Card,2021-01-03,Istinye Park
I168922,C117552,Female,53,Clothing,1292.32,Cash,2021-01-03,Forum Istanbul
I291637,C142705,Female,67,Shoes,2516.44,Cash,2021-01-03,Kanyon
I319927,C137783,Female,26,Clothing,2250.52,Credit Card,2021-01-03,Kanyon
I190418,C105332,Female,28,Clothing,2218.57,Cash,2021-01-03,Kanyon
I249212,C816399,Male,60,Books,192.77,Cash,2021-01-03,Mall of Istanbul
I279805,C306328,Male,67,Books,195.53,Cash,2021-01-03,Mall of Istanbul
I137037,C298588,Female,53,Toys,671.96,Credit Card,2021-01-03,Mall of Istanbul
I298156,C288460,Female,68,Food & Beverage,79.82,Debit Card,2021-01-03,Forum Istanbul
I334948,C839016,Female,36,Clothing,1768.54,Cash,2021-01-03,Metropol AVM
I168309,C182517,Female,49,Clothing,2856.11,Cash,2021-01-03,Mall of Istanbul
I175169,C750811,Male,60,Shoes,2198.19,Credit Card,2021-01-03,Metrocity
I142738,C208738,Male,24,Clothing,2089.78,Credit Card,2021-01-03,Kanyon
I338516,C308070,Male,47,Cosmetics,404.89,Credit Card,2021-01-03,Istinye Park
I965969,C129717,Female,40,Clothing,1983.4,Cash,2021-01-03,Metropol AVM
I118832,C698107,Female,45,Clothing,2628.51,Cash,2021-01-03,Mall of Istanbul
I159307,C331895,Female,32,Food & Beverage,120.63,Credit Card,2021-01-03,Istinye Park
I580869,C328232,Male,30,Technology,1733.89,Debit Card,2021-01-03,Metrocity
I111023,C139495,Female,42,Clothing,2227.1,Credit Card,2021-01-03,Metrocity
I221113,C111614,Male,61,Clothing,2519.27,Credit Card,2021-01-03,Cevahir AVM
I320908,C272509,Female,32,Shoes,1059.05,Cash,2021-01-03,Metropol AVM
I193478,C261364,Female,48,Food & Beverage,130.72,Credit Card,2021-01-03,Viaport Outlet
I198818,C386596,Female,53,Clothing,1096.47,Credit Card,2021-01-03,Cevahir AVM
I331807,C191552,Female,62,Toys,780.72,Debit Card,2021-01-03,Mall of Istanbul
I168937,C206705,Female,26,Food & Beverage,58.58,Debit Card,2021-01-03,Istinye Park
I145138,C274236,Female,49,Food & Beverage,79.67,Cash,2021-01-03,Kanyon
I135708,C261440,Male,41,Clothing,1515.63,Credit Card,2021-01-03,Mall of Istanbul
I288477,C140377,Female,66,Clothing,1355.4,Debit Card,2021-01-03,Kanyon
I219095,C308408,Male,57,Clothing,1985.76,Credit Card,2021-01-03,Viaport Outlet
I307057,C145871,Female,53,Clothing,2164.7,Credit Card,2021-01-03,Cevahir AVM
I271213,C209559,Female,35,Shoes,2740.54,Credit Card,2021-01-03,Cevahir AVM
I139191,C189543,Male,54,Technology,612.79,Cash,2021-01-03,Cevahir AVM
I336775,C529256,Female,66,Clothing,2983.48,Credit Card,2021-01-03,Istinye Park
I171723,C302896,Female,56,Technology,2210.83,Cash,2021-01-03,Mall of Istanbul
I939222,C156906,Male,56,Souvenir,226.61,Credit Card,2021-01-03,Cevahir AVM
I317897,C107320,Male,52,Shoes,1921.96,Cash,2021-01-03,Metrocity
I289932,C328675,Female,31,Food & Beverage,143.32,Credit Card,2021-01-03,Viaport Outlet
I328157,C180125,Female,65,Food & Beverage,86.23,Cash,2021-01-03,Kanyon
I237270,C225173,Female,33,Clothing,2599.7,Cash,2021-01-03,Istinye Park
I402134,C484596,Female,59,Toys,739.75,Cash,2021-01-03,Mall of Istanbul
I262217,C102108,Female,25,Souvenir,72.71,Cash,2021-01-03,Kanyon
I137921,C211376,Male,18,Clothing,2584.42,Cash,2021-01-03,Metrocity
I738672,C143526,Female,49,Clothing,1452.11,Credit Card,2021-01-03,Metropol AVM
I195686,C610647,Female,63,Clothing,1022.95,Cash,2021-01-03,Metrocity
I252437,C281585,Male,30,Books,314.31,Credit Card,2021-01-03,Istinye Park
I227296,C274806,Male,45,Food & Beverage,123.54,Cash,2021-01-03,Metropol AVM
I427402,C258732,Female,42,Food & Beverage,80.35,Cash,2021-01-03,Metrocity
I274383,C474159,Female,67,Cosmetics,901.29,Credit Card,2021-01-03,Metropol AVM
I430262,C390273,Female,30,Clothing,2933.39,Cash,2021-01-03,Viaport Outlet
I306751,C245308,Female,41,Shoes,1093.77,Credit Card,2021-01-03,Mall of Istanbul
I144573,C206374,Female,58,Food & Beverage,85.29,Cash,2021-01-03,Metrocity
I105653,C389561,Male,57,Cosmetics,742.4,Credit Card,2021-01-03,Mall of Istanbul
I730667,C281447,Male,31,Cosmetics,679.33,Debit Card,2021-01-03,Mall of Istanbul
I276207,C599504,Female,43,Clothing,1280.33,Debit Card,2021-01-03,Viaport Outlet
I296322,C897815,Female,18,Clothing,1337.8,Debit Card,2021-01-03,Metrocity
I336229,C333240,Female,63,Technology,3514.27,Cash,2021-01-03,Metrocity
I207717,C674244,Female,64,Clothing,1714.6,Debit Card,2021-01-03,Istinye Park
I157221,C763878,Female,34,Souvenir,105.12,Cash,2021-01-03,Mall of Istanbul
I175471,C126963,Female,38,Shoes,2676.2,Cash,2021-01-03,Mall of Istanbul
I306909,C578355,Female,49,Cosmetics,193.85,Credit Card,2021-01-03,Forum Istanbul
